Area,Aspect_Ratio,Label
493.5,3.6470588235294117,1
145.5,4.461538461538462,1
887.5,2.103448275862069,0
686.5,1.0,0
589.0,3.611111111111111,1
151.5,4.066666666666666,1
1101.5,2.0,0
761.5,1.0,0
719.5,3.526315789473684,1
143.5,4.0625,1
1337.0,1.9722222222222223,0
959.5,0.9565217391304348,0
105.5,0.47058823529411764,0
181.0,3.4,0
204.5,4.2,1
1677.5,1.853658536585366,0
1062.5,0.8533333333333334,0
1956.0,1.7291666666666667,0
997.0,0.7763157894736842,0
173.0,2.8181818181818183,0
861.0,1.328358208955224,0
102.5,0.39473684210526316,0
1821.0,1.2916666666666667,0
105.0,3.3333333333333335,0
335.5,1.025,0
235.5,1.2,0
764.0,1.6226415094339623,0
275.0,0.7358490566037735,0
138.5,2.5384615384615383,0
329.0,0.8235294117647058,0
269.0,1.7619047619047619,0
565.0,2.4,0
149.0,4.2727272727272725,1
155.5,1.5454545454545454,0
279.5,0.8235294117647058,0
185.5,2.5,0
121.0,3.0,0
111.5,0.7037037037037037,0
121.5,0.8214285714285714,0
148.5,2.75,0
105.5,1.375,0
101.5,2.3333333333333335,0
115.5,1.7333333333333334,0
110.0,0.8333333333333334,0
101.0,1.0666666666666667,0
154.0,2.4285714285714284,0
128.0,2.0714285714285716,0
149.5,2.076923076923077,0
199.0,1.03125,0
146.0,2.8461538461538463,0
112.5,3.75,1
111.5,2.3636363636363638,0
160.5,2.1538461538461537,0
251.0,2.388888888888889,0
213.5,2.7142857142857144,0
125.5,3.75,1
116.5,3.0,0
180.5,2.1538461538461537,0
286.5,0.7714285714285715,0
436.0,2.0454545454545454,0
177.0,3.8,1
326.0,1.8181818181818181,0
380.5,1.85,0
172.0,2.5,0
142.0,4.0,1
123.0,2.8,0
169.0,1.875,0
268.5,0.8235294117647058,0
489.0,2.0,0
284.0,1.9090909090909092,0
309.5,3.1538461538461537,0
385.5,2.466666666666667,0
154.5,2.6363636363636362,0
154.0,3.090909090909091,0
136.5,2.6363636363636362,0
192.0,2.0,0
323.5,0.7428571428571429,0
571.0,1.6666666666666667,0
339.0,3.076923076923077,0
142.0,2.5,0
428.5,2.375,0
176.5,2.6666666666666665,0
156.0,3.4,0
137.0,2.6363636363636362,0
218.0,1.6111111111111112,0
135.0,0.7142857142857143,0
536.0,0.9230769230769231,0
129.0,1.6428571428571428,0
229.5,3.0,0
648.5,1.6666666666666667,0
165.5,3.1818181818181817,0
708.5,1.0769230769230769,0
177.0,3.1818181818181817,0
144.5,2.4166666666666665,0
238.0,1.875,0
162.5,1.05,0
263.0,0.8571428571428571,0
273.0,3.0714285714285716,0
647.5,2.0,0
134.0,2.0,0
766.5,1.2903225806451613,0
201.0,2.6153846153846154,0
182.0,3.272727272727273,0
147.0,2.5,0
248.0,1.8333333333333333,0
142.0,0.9444444444444444,0
518.0,1.2162162162162162,0
802.5,1.7647058823529411,0
336.0,2.227272727272727,0
124.0,2.4,0
219.5,3.1818181818181817,0
771.0,1.0232558139534884,0
168.0,2.9,0
152.0,2.3846153846153846,0
285.5,1.7777777777777777,0
127.5,1.0,0
521.5,1.2,0
740.0,1.8529411764705883,0
244.0,2.25,0
230.5,3.0833333333333335,0
928.0,1.3235294117647058,0
175.0,3.5,0
165.0,2.2142857142857144,0
305.5,1.736842105263158,0
145.5,0.8260869565217391,0
498.0,1.5,0
116.0,5.25,1
186.0,0.8095238095238095,0
347.5,1.4333333333333333,0
253.5,3.4545454545454546,0
1113.5,1.3636363636363635,0
198.5,2.6153846153846154,0
182.0,2.2142857142857144,0
333.5,1.7,0
106.5,1.6153846153846154,0
136.5,1.1764705882352942,0
565.0,1.2857142857142858,0
296.5,1.7083333333333333,0
199.5,3.0,0
156.5,1.3333333333333333,0
103.5,0.7368421052631579,0
457.0,2.764705882352941,0
